Episode,Hotspots,AverageDelay,DelayedFlights,AverageNonZeroDelay,epsilon,seconds,state,Total_delay
101,73,35.530162589272145,3172,73.71500630517023,0.82,53.096,[ 0 37  0 ...  0  0 90],233877
102,77,36.259686977662966,3234,73.78633271490415,0.82,54.03,[ 0 37  0 ...  0  0 95],238686
103,78,36.864762194195414,3268,74.23714810281518,0.82,54.429,[ 0  7  0 ...  0  0 88],242655
104,68,36.22002735146634,3148,75.71918678526048,0.82,53.572,[ 0 37  0 ...  0  0 86],238436
105,71,37.88071721622854,3248,76.7527709359606,0.82,54.016,[ 0 19  0 ...  0  0 90],249339
106,72,37.6368333080079,3199,77.42669584245077,0.82,54.202,[ 0 19  0 ...  0  0 86],247727
107,76,36.7590031910044,3162,76.50569259962049,0.82,54.283,[10 19  0 ...  0  0 86],241963
108,75,37.63607354505395,3222,76.87243947858472,0.82,54.54,[ 0 19  0 ...  0  0 97],247737
109,70,37.020513599756875,3250,74.96369230769231,0.82,54.146,[ 0 19  0 ...  0  0 96],243696
110,74,37.48092994985564,3246,75.98952556993223,0.812,54.469,[10 38  0 ...  0  0 87],246697
111,74,38.29159702172922,3209,78.52820193206607,0.812,54.448,[  0  19   0 ...   0   0 100],252035
112,69,37.5420148913539,3256,75.87960687960688,0.812,53.321,[30 38  0 ...  0  0 78],247099
113,73,37.250113964443095,3148,77.87261753494282,0.812,54.98,[ 0  7  0 ...  0  0 83],245172
114,59,35.718127944081445,3259,72.12672598956735,0.812,51.032,[ 20  39   0 ...   0   0 100],235101
115,63,34.16547637137213,3014,74.59953550099536,0.812,51.477,[  0  28   0 ...   0   0 100],224900
116,64,36.41665400395077,3262,73.46965052115267,0.812,51.828,[ 0 28  0 ...  0  0 85],239710
117,64,37.07567239021425,3252,75.02921279212792,0.812,51.72,[  0  19   0 ...   0   0 100],244089
118,60,36.75201337182799,3220,75.11335403726709,0.812,51.694,[ 0 38  0 ...  0  0 91],241923
119,75,39.58608114268348,3349,77.78919080322484,0.812,54.894,[10 38  0 ...  0  0 76],260559
120,76,38.535177024768274,3270,77.55351681957187,0.804,55.499,[ 0 39  0 ...  0  0 95],253646
121,71,39.23385503722839,3254,79.3478795328826,0.804,54.457,[13 19  0 ...  0  0 86],258257
122,75,40.25528035253001,3363,78.77490336009515,0.804,55.328,[ 0 19  0 ...  0  0 85],264933
123,76,39.25649597325634,3319,77.83880686953901,0.804,54.808,[30 19  0 ...  0  0 96],258355
124,71,38.90259838930254,3234,79.16450216450217,0.804,53.847,[ 0 28  0 ...  0  0 86],256026
125,79,41.31925239325331,3358,80.97736748064324,0.804,57.004,[ 0  9  0 ...  0  0 80],271940
126,73,38.98586840905637,3213,79.85247432306255,0.804,54.131,[ 0 19  0 ...  0  0 98],256576
127,75,39.0492326394165,3315,77.52126696832579,0.804,54.388,[ 0 17  0 ...  0  0 76],256989
128,73,37.228232791369095,3220,76.08664596273292,0.804,54.761,[13 19  0 ...  0  0 84],245021
129,70,37.17064275945905,3193,76.6113373003445,0.804,53.61,[ 0  2  0 ...  0  0 87],244678
130,64,35.726029478802616,3116,75.45346598202823,0.796,53.089,[  0  18   0 ...   0   0 100],235140
131,72,37.44643671174593,3223,76.461371393112,0.796,53.855,[ 0 38  0 ...  0  0 88],246457
132,64,37.6971584865522,3256,76.19318181818181,0.796,52.422,[ 0 44  0 ...  0  0 81],248112
133,71,37.78331560553107,3226,77.07749535027898,0.796,53.367,[ 0 29  0 ...  0  0 90],248672
134,70,35.747150888922654,3113,75.57083199486026,0.796,53.489,[ 0  8  0 ...  0  0 84],235278
135,73,35.94225801549916,3076,76.89726918075422,0.796,53.611,[ 0 51  0 ...  0  0 86],236551
136,68,36.51709466646406,3197,75.17015952455426,0.796,53.811,[ 0 53  0 ...  0  0 86],240350
137,73,37.437319556298434,3163,77.89282326904838,0.796,54.313,[  0  45   0 ...   0   0 100],246419
138,66,36.55812186597782,3220,74.71708074534162,0.796,52.211,[ 0 38  0 ...  0  0 85],240663
139,68,35.615863850478654,3076,76.19895968790637,0.796,52.402,[ 0 28  0 ...  0  0 85],234526
140,69,36.72511776325786,3221,75.03508227258615,0.788,52.491,[  0  18   0 ...   0   0 100],241740
141,68,37.05895760522717,3263,74.74256818878332,0.788,52.88,[ 0 44  0 ...  0  0 88],243955
142,68,34.767208630907156,3080,74.28668831168831,0.788,52.553,[ 0 19  0 ...  0  0 82],228899
143,76,37.04604163500988,3080,79.15584415584415,0.788,54.873,[ 0 38  0 ...  0  0 94],243846
144,66,37.38337638656739,3219,76.42746194470332,0.788,52.422,[ 0  9  0 ...  0  0 74],246067
145,70,35.17778453122626,3073,75.33517735112268,0.788,53.187,[ 0  7  0 ...  0  0 86],231526
146,70,37.65339614040419,3282,75.5018281535649,0.788,53.244,[ 10  29   0 ...   0   0 100],247805
147,63,36.45373043610394,3281,73.11856141420299,0.788,52.063,[ 0 37  0 ...  0  0 73],239914
148,71,37.24585929190093,3226,75.98109113453192,0.788,53.326,[30 28  0 ...  0  0 84],245126
149,73,37.2555842577116,3242,75.62584824182603,0.788,53.726,[ 0 38  0 ...  0  0 89],245224
150,64,37.48943929493998,3241,76.1240357914224,0.78,52.55,[ 30  39   0 ...   0   0 100],246791
151,69,35.713417413766905,3127,75.16149664214902,0.78,53.059,[ 0  9  0 ...  0  0 87],235096
152,66,35.196474699893635,3149,73.55604953953636,0.78,52.701,[  0  33   0 ...   0   0 100],231713
153,71,34.849870840297825,3066,74.80332681017613,0.78,53.949,[10  9  0 ...  0  0 98],229401
154,70,34.469229600364685,3099,73.19845111326234,0.78,53.609,[ 0  9  0 ...  0  0 87],226894
155,68,38.12915970217292,3266,76.83037354562155,0.78,55.163,[ 0 19  0 ...  0  0 89],250962
156,75,34.823279136909285,3107,73.75989700675893,0.78,54.108,[ 0 38  0 ...  0  0 88],229179
157,64,36.252849111077346,3276,72.82661782661782,0.78,51.85,[30 19  0 ...  0  0 91],238590
158,70,36.635465734690776,3241,74.39000308546744,0.78,53.374,[ 0  0  0 ...  0  0 89],241121
159,68,36.57498860355569,3232,74.4740099009901,0.78,53.641,[  0  39   0 ...   0   0 100],240712
160,69,36.65582738185686,3191,75.59761830147289,0.772,53.541,[ 0 38  0 ...  0  0 89],241256
161,67,35.769791824950616,3205,73.44804992199688,0.772,52.401,[10 29  0 ...  0  0 86],235429
162,66,34.974320012156205,3140,73.30127388535031,0.772,51.803,[20  9  0 ...  0  0 69],230214
163,75,38.218507825558426,3269,76.9397369226063,0.772,55.606,[  0  19   0 ...   0   0 100],251532
164,72,35.34660385959581,3086,75.37783538561244,0.772,53.858,[10 42  0 ...  0  0 87],232626
165,75,36.04072329433217,3204,74.02746566791511,0.772,53.419,[20 19  0 ...  0  0 87],237229
166,65,35.25345692144051,3155,73.5350237717908,0.772,52.118,[ 0 19  0 ...  0  0 87],232028
167,73,37.03191004406625,3148,77.41645489199492,0.772,54.703,[  0   9   0 ...   0   0 100],243742
168,71,36.53198602036165,3161,76.05726036064536,0.772,54.062,[  0  19   0 ...   0   0 100],240429
169,70,37.37881780884364,3255,75.57296466973887,0.772,53.657,[ 25  37   0 ...   0   0 100],246050
170,67,36.29676340981614,3209,74.43720785291369,0.764,52.96,[ 0 27  0 ...  0  0 85],238957
171,66,35.31758091475459,3111,74.71070395371264,0.764,52.507,[ 0 32  0 ...  0  0 91],232494
172,66,35.835283391581825,3159,74.65400443178221,0.764,52.772,[ 0 59  0 ...  0  0 89],235888
173,63,34.2955477890898,3010,74.98305647840532,0.764,51.762,[ 0  1  0 ...  0  0 84],225744
174,70,36.28217596110014,3271,72.99694283093855,0.764,52.828,[  0  29   0 ...   0   0 100],238848
175,68,35.686825710378365,3110,75.516077170418,0.764,53.76,[  0   9   0 ...   0   0 100],234896
176,69,36.05622245859292,3154,75.23335447051363,0.764,53.417,[ 10  29   0 ...   0   0 100],237323
177,68,37.24464367117459,3328,73.64993990384616,0.764,53.068,[  0  19   0 ...   0   0 100],245132
178,66,36.14161981461784,3277,72.58101922490083,0.764,52.693,[ 0 19  0 ...  0  0 89],237854
179,61,35.89576052271691,3278,72.065283709579,0.764,51.468,[ 20   9   0 ...   0   0 100],236253
180,67,36.1387327153928,3197,74.3913043478261,0.756,52.697,[10 33  0 ...  0  0 76],237866
181,70,37.30891961707947,3178,77.2592825676526,0.756,54.241,[ 0 38  0 ...  0  0 76],245560
182,63,34.127640176265004,3111,72.1935069109611,0.756,52.961,[  0   1   0 ...   0   0 100],224630
183,72,37.85792432760979,3258,76.47114794352363,0.756,54.787,[  0  60   0 ...   0   0 100],249165
184,66,35.63956845464215,3133,74.8624321736355,0.756,52.952,[ 0 35  0 ...  0  0 72],234553
185,68,37.15347211669959,3252,75.18665436654366,0.756,53.09,[13 19  0 ...  0  0 64],244539
186,66,34.61981461783923,3074,74.11613532856214,0.756,52.284,[ 0 19  0 ...  0  0 87],227960
187,66,35.12171402522413,3139,73.63364128703408,0.756,52.129,[ 0  9  0 ...  0  0 87],231324
188,71,35.67846831788482,3112,75.44987146529563,0.756,53.609,[ 0 42  0 ...  0  0 88],234904
189,73,36.132806564351924,3103,76.63229133097003,0.756,54.372,[ 0  9  0 ...  0  0 89],237949
190,62,34.769639872359825,3100,73.81258064516129,0.748,52.106,[ 0 44  0 ...  0  0 71],228992
191,64,34.09436255888163,3027,74.12454575487281,0.748,52.889,[  0  29   0 ...   0   0 100],224449
192,69,36.5784835131439,3157,76.25055432372505,0.748,53.594,[ 0 19  0 ...  0  0 81],240800
193,64,36.77814921744416,3217,75.23686664594342,0.748,52.723,[ 0 40  0 ...  0  0 80],242081
194,69,34.78134022185078,3048,75.0971128608924,0.748,53.391,[  0  29   0 ...   0   0 100],228913
195,68,36.43443245707339,3231,74.21077065923862,0.748,52.688,[ 0 38  0 ...  0  0 84],239789
196,64,35.164716608418175,3160,73.23386075949367,0.748,51.807,[ 0 43  0 ...  0  0 88],231438
197,64,36.87646254368637,3249,74.69498307171438,0.748,52.195,[13 38  0 ...  0  0 85],242750
198,57,33.68333080079015,3119,71.07085604360373,0.748,51.459,[ 0  2  0 ...  0  0 76],221709
199,65,33.90062300562224,3130,71.27795527156549,0.748,53.117,[  0  19   0 ...   0   0 100],223147
200,61,35.255432305120806,3151,73.63249761980323,0.74,52.554,[  0  18   0 ...   0   0 100],232076
201,65,34.09755356328825,3121,71.89875040051265,0.74,52.318,[ 0  9  0 ...  0  0 99],224515
202,68,35.43519222002735,3160,73.79715189873417,0.74,52.986,[ 0 19  0 ...  0  0 90],233242
203,71,35.90943625588816,3233,73.09619548407052,0.74,53.497,[  0  28   0 ...   0   0 100],236397
204,70,36.9908828445525,3236,75.22775030902349,0.74,55.408,[  0  43   0 ...   0   0 100],243584
205,64,35.679683938611156,3197,73.4463559587113,0.74,51.579,[ 0 40  0 ...  0  0 86],234966
206,70,36.38292052879502,3206,74.68371802869619,0.74,53.677,[ 30  40   0 ...   0   0 100],239664
207,63,35.11624373195563,3159,73.15606204495093,0.74,52.717,[  0  39   0 ...   0   0 100],231290
208,73,37.27700957301322,3252,75.43665436654366,0.74,54.689,[  0  17   0 ...   0   0 100],245448
209,68,35.87539887555083,3090,76.40647249190938,0.74,53.389,[20 39  0 ...  0  0 70],236168
210,76,37.11989059413463,3188,76.6267252195734,0.732,54.812,[ 0 40  0 ...  0  0 93],244350
211,76,36.12870384440055,3096,76.796834625323,0.732,54.772,[  0  42   0 ...   0   0 100],237817
212,68,36.10819024464367,3223,73.72882407694695,0.732,52.967,[30 18  0 ...  0  0 87],237671
213,69,35.46816593222915,3128,74.62148337595907,0.732,53.587,[ 0 29  0 ...  0  0 90],233445
214,65,35.60568302689561,3197,73.29402564904598,0.732,52.291,[ 0 39  0 ...  0  0 89],234354
215,72,36.13584561616776,3131,75.95336953050143,0.732,54.552,[ 0 18  0 ...  0  0 91],237845
216,60,33.20999848047409,3048,71.70439632545931,0.732,51.856,[ 0 19  0 ...  0  0 87],218569
217,65,35.991186749734084,3144,75.33651399491094,0.732,53.278,[  0   9   0 ...   0   0 100],236871
218,65,35.46755812186598,3179,73.42308902170494,0.732,52.796,[30 34  0 ...  0  0 94],233428
219,68,36.559185534113354,3123,77.04002561639449,0.732,53.683,[  0  34   0 ...   0   0 100],240600
220,64,37.36286278681052,3262,75.37860208461066,0.724,53.313,[  0  19   0 ...   0   0 100],245891
221,70,36.961555994529704,3273,74.31836235869233,0.724,53.577,[20  9  0 ...  0  0 71],243247
222,63,35.725269715848654,3180,73.93333333333334,0.724,52.049,[  0  40   0 ...   0   0 100],235117
223,75,39.28764625436864,3348,77.2258064516129,0.724,56.389,[  0  19   0 ...   0   0 100],258564
224,71,38.88086916881933,3362,76.10797144556811,0.724,54.062,[ 0 19  0 ...  0  0 76],255893
225,73,36.65613128703844,3131,77.04694985627594,0.724,54.334,[  0  19   0 ...   0   0 100],241274
226,63,36.71372131894849,3236,74.66409147095179,0.724,52.388,[20 19  0 ...  0  0 82],241640
